iteration,activation,lr,epoch
1,2,0.000236414,4042
2,3,0.044833285,2899
3,3,0.008321937,4476
4,3,0.086209033,3861
5,2,0.028167226,4747
6,4,0.02746188,4491
7,1,0.058889125,1000
8,1,0.000655839,1872
9,2,0.081802341,1947
10,2,0.037249286,2403
11,3,0.032100806,3235
12,3,0.0001,4663
13,1,0.085448491,4736
14,4,0.001384149,2448
15,3,0.000848345,3151
16,4,0.023398445,3494
17,4,0.000765085,3871
18,4,0.087427132,4515
19,2,0.00298566,2730
20,4,0.002554372,2389
21,4,0.041072207,3467
22,2,0.028845173,2324
23,2,0.001414123,4897
24,2,0.004907545,4711
25,1,0.005088966,1000
26,4,0.006247326,2842
27,2,0.016859686,3531
28,2,0.1,1875
29,2,0.007220832,4438
30,2,0.084076639,3278
31,1,0.025189617,5000
32,3,0.000262011,5000
33,1,0.000468755,3443
34,2,0.0174138,3047
35,4,0.010960799,1955
36,3,0.033644429,1902
37,2,0.02492324,4554
38,2,0.04053502,3211
39,3,0.003098623,3172
40,4,0.038683574,1715
41,1,0.005856576,3867
42,3,0.007638164,2485
43,2,0.002204241,3729
44,3,0.03746208,4563
45,4,0.028964848,3094
1,2,3.31E-04,4570
6,1,5.20E-04,2532
11,4,0.013880469,1971
16,2,0.004334087,5000
21,3,0.001887353,2067
26,4,0.014343014,1918
31,1,0.016026637,1166
36,4,0.086274678,3216
41,3,0.028825184,5000
1,3,0.070603504,1455
