iteration,activation,optimizer,layer,neuron,lr,epoch,rate,meanRMSE1,varRMSE1,meanRMSE5,varRMSE5,meanRMSE,varRMSE
1,4,4,1,15,0.1,4977,2,0.070262595,0.055083481,0.145578172,0.038177807,0.012837002,0.008946987
2,1,1,3,4,0.00434,3205,2,0.036291611,0.008417676,0.064244904,0.029215748,0.011922947,0.012647886
3,2,3,1,9,0.05245,3545,2,0.018033878,0.012814771,0.073130612,0.038956367,0.011787321,0.010242576
4,3,1,4,4,0.00566,2954,2,0.045377572,0.01788121,0.079384198,0.047868429,0.011850709,0.068224163
5,3,2,3,16,0.0001,2264,2,0.019302106,0.012173204,0.063493347,0.047283067,0.011257804,0.053569418
6,4,1,2,13,0.00075,1000,2,0.554240398,0.019305086,0.010614551,0.091853399,0.011559311,0.076315802
7,3,2,4,13,0.0173,3346,2,0.008582901,0.041071858,0.012634792,0.151950685,0.013230336,0.014656559
8,3,2,3,7,0.0105,2824,2,0.01303341,0.095625049,0.013534179,0.076557121,0.012956262,0.014606937
9,1,4,3,8,0.00154,4174,2,0.013138952,0.00808941,0.010840036,0.09844657,0.012273008,0.008506188
10,1,2,2,5,0.0839,2596,2,0.064089877,0.019720748,0.010005937,0.094080421,0.013390072,0.028887394
11,1,1,3,12,0.07859,3509,2,0.014170733,0.006667891,0.012937157,0.014912372,0.013281999,0.011979803
12,3,4,3,13,0.01458,4810,2,0.013095591,0.155341888,0.013101987,0.00676146,0.014201658,0.03192122
13,2,2,3,16,0.01353,2673,2,0.019625284,0.007327163,0.012484182,0.045021689,0.013798861,0.022888652
14,2,3,2,5,0.0839,1000,2,0.062500041,0.103200067,0.013322421,0.065936866,0.014023718,0.049022761
15,1,2,3,4,0.00229,3715,2,0.035529531,0.129887494,0.013297768,0.026136636,0.013577955,0.017151303
16,2,4,3,9,0.090174,3809,2,0.150873912,0.006961162,0.013363576,0.018921824,0.013819929,0.089168566
17,1,4,2,9,0.0142,3353,2,0.053173173,0.028947583,0.013894671,0.044912849,0.013842684,0.039791214
18,2,2,3,6,1039,2689,2,0.016158525,0.047502881,0.029332489,0.01819157,0.013972193,0.050874511
19,1,2,1,14,0.00069,4896,2,0.035396042,0.018351166,0.029120666,0.008829364,0.013767056,0.029920275
20,1,2,3,10,0.0549,4254,2,0.015213559,0.00632718,0.032868597,0.033218612,0.013358143,0.00886557
21,2,2,4,6,0.01,1602,2,0.019999839,0.022813723,0.014513169,0.05415054,0.013793161,0.049919814
22,2,2,4,8,0.00106,2695,2,0.014971361,0.033859718,0.01472477,0.058984739,0.013995364,0.02580753
23,3,4,2,8,0.00184,2062,2,0.018070365,0.02770398,0.01480121,0.049811947,0.01423617,0.011396189
24,2,2,4,13,0.0019,2228,2,0.063994352,0.040067938,0.012270375,0.172715384,0.092393408,0.114561097
25,3,1,2,15,0.1,2506,2,0.017773569,0.01959929,0.058802824,0.07502349,0.061502784,0.054501374
26,3,4,4,13,0.0048,3406,2,0.012260736,0.021517741,0.043340477,0.038054119,0.038493731,0.047754146
27,2,2,3,9,0.0092,2375,2,0.020700996,0.024655901,0.038257167,0.013000959,0.023130232,0.06290114
28,3,4,3,12,0.01319,1618,2,0.022845933,0.109594183,0.044523299,0.044472682,0.025063685,0.017158347
29,2,2,3,10,0.0188,3840,2,0.016574825,0.006701877,0.055597507,0.026892224,0.020159431,0.016818613
30,3,3,2,13,0.049,3020,2,0.020580089,0.026921389,0.012343817,0.028384234,0.025913035,0.048827378
31,2,2,2,4,0.00065,4375,2,0.191352433,0.009179309,0.018501981,0.058574198,0.013257436,0.027519691
32,2,3,4,9,0.0607,5000,2,0.015425021,0.127796424,0.018732065,0.06901805,0.014781606,0.041698331
33,2,2,4,11,0.0123,4951,2,0.016454612,0.003655841,0.018421802,0.057584173,0.014260319,0.031965279
34,2,1,3,11,0.0233,3989,2,0.039272667,0.003660942,0.013297374,0.00358193,0.01379699,0.029435393
35,2,2,4,13,0.021,3831,2,0.017264831,0.004098177,0.027725085,0.025692809,0.019240333,0.027884684
36,2,3,3,16,0.059,4588,2,0.016877268,0.080420814,0.012320482,0.050936386,0.014441685,0.070692325
37,1,2,2,12,0.031,3113,2,0.019589217,0.021082315,0.015508348,0.040916757,0.01553489,0.075755299
38,2,1,3,5,0.049,1757,2,0.068380988,0.044307546,0.013565003,0.055397115,0.018997803,0.076527216
39,3,4,3,12,0.00026,4322,2,0.017646196,0.012754936,0.012952635,0.019283805,0.01475569,0.06904822
40,3,2,4,8,0.00155,2979,2,0.016129719,0.012664882,0.020506452,0.028532323,0.018063943,0.0776151
41,4,2,4,15,0.015,3500,2,0.016687173,0.007090606,0.018721503,0.002603409,0.014488885,0.061560313
42,2,2,3,7,0.07,1000,2,0.020433226,0.002851801,0.018889858,0.004364263,0.015538936,0.06005695
